videoId,title,description,publishedAt,channelId,channelTitle,thumbnails,duration,definition,caption,licensedContent,dimension,viewCount,likeCount,dislikeCount,favoriteCount,unique_id,video_url,logViewCount,performance
RNeG9RgJ9BQ,Understanding billing,"In this episode of Cloud Storage Bytes, Jenny Brown explains how to predict and track your data usage to anticipate monthly costs. Pricing costs can vary based on Data Storage, Networking, Operations, Retrieval and Early Deletion fees.


Documentation - Google Cloud Storage Pricing → https://goo.gle/34qguaC 


Cloud Storage Bytes → https://goo.gle/2KXwxnX
Subscribe to GCP → https://goo.gle/GCP 



Product:Cloud Storage; full name:Jenny Brown;

#CloudStorageBytes",2019-12-01 17:00:07+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/RNeG9RgJ9BQ/hqdefault.jpg,0:06:08,hd,True,False,2d,32355,364,0,0,23317,https://www.youtube.com/watch?v=RNeG9RgJ9BQ,10.384554754137843,Top Quartile
b27hzEs8YWw,Visualizing Convolutional Neural Networks using Lucid,"In this episode of AI Adventures, Yufeng introduces Lucid, a tool for a collection of infrastructure and tools for research in neural network interpretability. Learn about feature activations and how they can be used to better understand what different parts of a convolutional neural network is looking for! 

Lucid library on GitHub: https://goo.gle/2PgACph 

Two distill.pub articles for more details:
https://goo.gle/feature-visualization 
https://goo.gle/building-blocks 

Check out the rest of the Cloud AI Adventures playlist: https://goo.gl/UC5usG

Subscribe to get all the episodes as they come out: https://goo.gl/S0AS51 







Product: Lucid, TensorFlow, Colab; fullname:Yufeng Guo;

#AIAdventures",2019-12-06 17:08:12+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/b27hzEs8YWw/hqdefault.jpg,0:08:48,hd,True,False,2d,17278,520,0,0,23309,https://www.youtube.com/watch?v=b27hzEs8YWw,9.757247170313121,Top Quartile
-HSnyu0_nBg,Dealing with and managing versioning,"In this episode of Cloud Storage Bytes, Jenny Brown goes over how to use Cloud Storage object versioning, enabling versioning, disabling versioning, and much more!


Guide - Object Versioning → https://goo.gle/2YyoMLr 
Guide - Viewing the object metadata → https://goo.gle/2sa4wUw 
Guide - Listing archived object versions → https://goo.gle/36iognC 



Cloud Storage Bytes → https://goo.gle/2KXwxnX 
Subscribe to GCP → https://goo.gle/GCP  



Product: Cloud Storage; fullname: Jenny Brown;

#CloudStorageBytes",2019-12-15 17:00:00+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/-HSnyu0_nBg/hqdefault.jpg,0:08:49,hd,True,False,2d,11549,108,0,0,23300,https://www.youtube.com/watch?v=-HSnyu0_nBg,9.35444071594994,Top Quartile
UFtXy0KRxVI,Getting started with Natural Language Processing: Bag of words,"In this episode of AI Adventures, Yufeng introduces how to use Keras to implement 'bag of words', to get you started on your natural language processing journey!


Word embedding tutorial: https://goo.gle/2LBhzFq 
Full session from Next 2019 → https://goo.gle/2S2qAuU  
Expanded blog post about bag of words → https://goo.gle/2Q81Zmb 

Check out the rest of the Cloud AI Adventures playlist: https://goo.gl/UC5usG
Subscribe to get all the episodes as they come out: https://goo.gl/S0AS51 




Product: TensorFlow, Keras; fullname: Yufeng Guo;

#AIAdventures",2019-12-17 17:08:04+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/UFtXy0KRxVI/hqdefault.jpg,0:06:27,hd,True,False,2d,44537,1129,0,0,23298,https://www.youtube.com/watch?v=UFtXy0KRxVI,10.704098036345602,Top Quartile
ieaqfU1BwJ8,Using AutoML Natural Language for custom text classification,"In this episode of AI Adventures, Yufeng introduces how to use AutoML Natural Language to perform custom text classification using data from Stack Overflow questions! Using machine learning to classify machine learning questions, what could go wrong?

AutoML Natural Language → https://goo.gle/36oauzR 
BigQuery datasets →  https://goo.gle/2YLOBYM 

Check out the rest of the Cloud AI Adventures playlist → https://goo.gl/UC5usG
Subscribe to get all the episodes as they come out → https://goo.gl/S0AS51 


Product: Cloud, AutoML Nl, Stack overflow; fullname: Yufeng Guo;

#AIAdventures",2019-12-20 17:01:17+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/ieaqfU1BwJ8/hqdefault.jpg,0:05:56,hd,True,False,2d,28442,520,0,0,23294,https://www.youtube.com/watch?v=ieaqfU1BwJ8,10.255657363586069,Top Quartile
fPGmUVJX7oE,Understanding and managing metadata,"In this episode of Google Cloud Storage Bytes, learn what key/value pairs exist in object metadata. Find out which metadata you can modify and which are set automatically. See an example of modifying metadata.

 Metadata → https://goo.gle/35rWghr 
Viewing and Editing Metadata → https://goo.gle/2RZfEOW 
Identity Access Management → https://goo.gle/2PS9YDr 
Access Control Lists → https://goo.gle/36G5p5Z 
Content-Disposition Specification →  https://goo.gle/35EsllW 

Cloud Storage Bytes → https://goo.gle/2KXwxnX 
Subscribe to GCP → https://goo.gle/GCP  



Product: Cloud Storage; fullname: Jenny Brown;

#CloudStorageBytes",2019-12-22 17:00:08+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/fPGmUVJX7oE/hqdefault.jpg,0:05:31,hd,True,False,2d,22977,245,0,0,23293,https://www.youtube.com/watch?v=fPGmUVJX7oE,10.04229251541331,Top Quartile
ny92vcpOQFs,Getting started with Google's Identity platform for web,"Welcome to Who's There: a show about Cloud Identity. In this episode, we’ll show you how to integrate Identity Platform into your JavaScript web app.
 
Episode 4 → https://goo.gle/2rVdxRk 

Identity Platform Marketplace page → https://goo.gle/33lrQeN 
Guides: Identity Platform Quickstart → https://goo.gle/2scTy0h 
Guides: Getting Started with Firebase Auth → https://goo.gle/37F9WqA 
GitHub - Firebase Auth web Quickstart → https://goo.gle/2RXOjfY 
Check out the Firebase YouTube channel → https://goo.gle/Firebase

Playlist → https://goo.gle/34aAJIB 
Subscribe to GCP → https://goo.gle/GCP 




product: Identity Platform, Cloud; fullname: Jen Person;

#ExploringCloudIdentityServices",2020-01-03 17:00:12+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/ny92vcpOQFs/hqdefault.jpg,0:07:10,hd,True,False,2d,35377,350,0,0,23289,https://www.youtube.com/watch?v=ny92vcpOQFs,10.473845437003453,Top Quartile
ML6P1ksHcqo,Cloud Pub/Sub Publishers - ep. 4,"In this episode of Pub/Sub Made Easy , Priyanka Vergadia will dive deeper into publishers and explain how to publish messages to Cloud Pub/Sub.

Publishing messages → https://goo.gle/2SwJ4UA 
API reference document → https://goo.gle/2PZ5tbw 
JSON schema for the PubSub Message → https://goo.gle/2tPxFF8 



Pub/Sub Made Easy playlist → https://goo.gle/2XQ3vwC
Subscribe to the GCP channel → https://goo.gle/GCP


product:Google Cloud Platform; Cloud Pub/Sub; fullname: Priyanka Vergadia;

#PubSubMadeEasy",2020-01-04 17:00:08+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/ML6P1ksHcqo/hqdefault.jpg,0:04:59,hd,True,False,2d,67476,921,0,0,23288,https://www.youtube.com/watch?v=ML6P1ksHcqo,11.119542078054563,Top Quartile
bnLV3CZbB-c,GCS Bytes - Serving data - Dealing with CORS,"Today on Cloud Storage Bytes we’re going where a lot of web devs would rather not go… We’re talking about CORS, and we’re going to do it twice.

Guide - Cross-Origin Resource Sharing in Cloud Storage → https://goo.gle/2tbcVaQ 
Reference - gsutil CORS → https://goo.gle/2tXbQDQ 

Cloud Storage Bytes → https://goo.gle/2KXwxnX 
Subscribe to GCP → https://goo.gle/GCP  

Product: Cloud Storage; fullname: Jenny Brown;

#CloudStorageBytes",2020-01-11 17:00:10+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/bnLV3CZbB-c/hqdefault.jpg,0:03:38,hd,True,False,2d,11570,199,0,0,23284,https://www.youtube.com/watch?v=bnLV3CZbB-c,9.356257246876337,Top Quartile
nQ9_Xur2aM4,Cloud Pub/Sub Subscribers - ep. 5,"In this episode of Pub/Sub Made Easy, Priyanka Vergadia will dive deeper into Subscriber. 

References → https://goo.gle/37glyQ1 

Pub/Sub Made Easy playlist → https://goo.gle/2XQ3vwC
Subscribe to the GCP channel → https://goo.gle/GCP


product:Google Cloud Platform; fullname: Priyanka Vergadia;

#PubSubMadeEasy",2020-01-12 17:00:09+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/nQ9_Xur2aM4/hqdefault.jpg,0:05:10,hd,True,False,2d,62189,788,0,0,23283,https://www.youtube.com/watch?v=nQ9_Xur2aM4,11.037949494097935,Top Quartile
