month,channel_1,channel_2,Top_vs_Top,Low_vs_Low,Low_vs_Top
2019-12,Google Cloud Tech,IBM Technology,0.12975514826234733,,0.1297849930203538
2019-12,Google Cloud Tech,Microsoft Azure,0.06897214626083133,,0.12212739178466243
2019-12,IBM Technology,Microsoft Azure,0.15058105356519183,,
2020-01,AWS Developers,Google Cloud Tech,,0.14919842945252237,0.14622061396797656
2020-01,AWS Developers,IBM Technology,,0.27715434029614844,0.28019815559952155
2020-01,AWS Developers,Microsoft Azure,,0.24999135519379814,0.13660397332477087
2020-01,Google Cloud Tech,IBM Technology,0.11295067628632781,0.13743398008727292,0.13233987008015144
2020-01,Google Cloud Tech,Microsoft Azure,0.1518052433684454,0.2201082036709486,0.16293264977385574
2020-01,IBM Technology,Microsoft Azure,0.159230543957615,0.253813510241585,0.19212494601464558
2020-02,AWS Developers,Google Cloud Tech,0.049652285580957585,,0.20769147950191336
2020-02,AWS Developers,IBM Technology,0.11359797254359247,,0.12677862752198274
2020-02,AWS Developers,Microsoft Azure,0.3508385689275232,,
2020-02,Google Cloud Tech,IBM Technology,0.12951143684932176,0.19575397163641314,0.14640514236378335
2020-02,Google Cloud Tech,Microsoft Azure,0.05604452425420421,,0.1484462253136534
2020-02,IBM Technology,Microsoft Azure,0.09888625365631139,,0.14386629129236914
2020-03,AWS Developers,Google Cloud Tech,0.18065139371343525,0.14494644220673011,0.157519784889161
2020-03,AWS Developers,IBM Technology,0.29979763684216465,0.110640041750121,0.20831525474468482
2020-03,AWS Developers,Microsoft Azure,0.1830042609809536,,0.13530045686145087
2020-03,Google Cloud Tech,IBM Technology,0.22990817911493516,0.14811377552432436,0.2001582828999216
2020-03,Google Cloud Tech,Microsoft Azure,0.1300021069089077,,0.0898553053650861
2020-03,IBM Technology,Microsoft Azure,0.21252067297668562,,0.1702821196519488
2020-04,AWS Developers,Google Cloud Tech,,,0.1536007584892578
2020-04,AWS Developers,IBM Technology,,,0.2337899844402278
2020-04,AWS Developers,Microsoft Azure,,,0.16004638126780177
2020-04,Google Cloud Tech,IBM Technology,0.2876053717504202,,
2020-04,Google Cloud Tech,Microsoft Azure,0.12543542312456013,,
2020-04,IBM Technology,Microsoft Azure,0.24641922344373057,,
2020-05,AWS Developers,Google Cloud Tech,,0.12589035537106535,0.1522744259711378
2020-05,AWS Developers,IBM Technology,,0.23495281126763348,
2020-05,AWS Developers,Microsoft Azure,,0.08147332349997545,0.09417903143845273
2020-05,Google Cloud Tech,IBM Technology,,0.23743267832302645,0.21260282130322417
2020-05,Google Cloud Tech,Microsoft Azure,0.09621207958080319,0.11191304309050576,0.12300805454762712
2020-05,IBM Technology,Microsoft Azure,,0.11414951986783654,0.14493365087047788
2020-06,AWS Developers,Google Cloud Tech,0.1438527040710192,0.22314497299716476,0.19468809148407362
2020-06,AWS Developers,IBM Technology,,0.19878460396099917,0.23260538649770182
2020-06,AWS Developers,Microsoft Azure,0.15687022248859536,,0.1299382580121987
2020-06,Google Cloud Tech,IBM Technology,,0.27401600902760387,0.202742012528485
