channelTitle,month,total_engagement,total_likes,num_videos,avg_top_similarity
AWS Developers,2020-01-01,232,2,1,0.1413288212041294
AWS Developers,2020-02-01,22528,267,1,0.1330885069686517
AWS Developers,2020-03-01,14348,176,12,0.20598070842284696
AWS Developers,2020-04-01,1715,10,3,0.21982000610623695
AWS Developers,2020-05-01,2748,34,6,0.0962120795808031
AWS Developers,2020-06-01,35581,429,8,0.13528138368127676
AWS Developers,2020-07-01,4315,41,8,0.1313081755645249
AWS Developers,2020-08-01,1620,13,3,0.056381742323081935
AWS Developers,2020-09-01,7336,78,3,0.18113195761526277
AWS Developers,2020-10-01,2490,22,5,0.13399591320188095
AWS Developers,2020-11-01,741,5,1,0.09476838658257859
AWS Developers,2021-01-01,2642,22,8,0.2169470249466726
AWS Developers,2021-03-01,93313,1259,27,0.11330559435987864
AWS Developers,2021-04-01,98063,1170,22,0.17437545563607337
AWS Developers,2021-05-01,70054,823,22,0.1474760059623549
AWS Developers,2021-06-01,40736,664,13,0.15035358521767825
AWS Developers,2021-07-01,67538,941,19,0.12412579252716373
AWS Developers,2021-08-01,60113,867,20,0.149393639813656
AWS Developers,2021-09-01,87188,1130,19,0.12743864651702666
AWS Developers,2021-10-01,74080,914,14,0.10815383935419641
AWS Developers,2021-11-01,2813,46,4,0.1198368912286107
AWS Developers,2022-01-01,2306,53,4,0.09315118208529416
AWS Developers,2022-02-01,28579,350,13,0.12832186520813396
AWS Developers,2022-03-01,85736,1008,17,0.11538751728791984
AWS Developers,2022-04-01,53453,535,9,0.10329100137074815
AWS Developers,2022-05-01,37688,419,5,0.12739121877739287
AWS Developers,2022-06-01,90904,1006,20,0.11550184776502688
AWS Developers,2022-07-01,42023,634,6,0.08343828451073142
AWS Developers,2022-08-01,71916,785,9,0.10968570046449651
AWS Developers,2022-09-01,75802,789,12,0.15087977400015987
AWS Developers,2022-10-01,46498,574,16,0.1322881406251937
AWS Developers,2022-11-01,7314,64,1,0.12619566581326694
AWS Developers,2023-01-01,6773,88,7,0.05875880205838282
AWS Developers,2023-02-01,71092,738,17,0.113784032410296
AWS Developers,2023-03-01,62841,718,15,0.1034643675668128
AWS Developers,2023-04-01,41614,536,10,0.14265495780479373
AWS Developers,2023-05-01,38536,396,11,0.1526658210039905
AWS Developers,2023-06-01,50451,387,10,0.11594032173990317
AWS Developers,2023-07-01,88045,993,12,0.1160820015801189
AWS Developers,2023-08-01,23604,334,6,0.11789587571993283
AWS Developers,2023-09-01,89466,1125,12,0.12243837359425902
AWS Developers,2023-10-01,75409,1218,14,0.133779851369263
AWS Developers,2023-11-01,31512,579,4,0.1357734841793808
AWS Developers,2023-12-01,8264,54,26,0.18664272561875414
AWS Developers,2024-02-01,14811,179,2,0.10649250769932629
AWS Developers,2024-03-01,5962,101,3,0.0400126735713678
AWS Developers,2024-04-01,55347,861,3,0.16177102061124252
AWS Developers,2024-05-01,22756,559,1,0.1451400299504865
AWS Developers,2024-06-01,5640,47,1,0.14054377189283015
AWS Developers,2024-07-01,75600,495,5,0.09117617022606211
AWS Developers,2024-08-01,40940,239,2,0.24046106373263862
AWS Developers,2024-09-01,15994,204,2,0.0630276522867737
AWS Developers,2024-10-01,26227,367,5,0.12652959984367448
AWS Developers,2024-11-01,27365,521,9,0.13775554306284787
AWS Developers,2024-12-01,24168,568,3,0.15460178543189537
AWS Developers,2025-01-01,18271,450,2,0.17717863017420268
AWS Developers,2025-02-01,15890,227,3,0.21502140771733988
AWS Developers,2025-03-01,760,23,1,0.1413750898859419
AWS Developers,2025-04-01,55390,812,7,0.2613061258991897
AWS Developers,2025-05-01,41995,1065,6,0.21485323820355498
AWS Developers,2025-06-01,8094,399,2,0.2877234061990865
AWS Developers,2025-07-01,7643,261,2,0.3017157157865102
Google Cloud Tech,2019-12-01,166676,3002,11,0.1164361160294568
Google Cloud Tech,2020-01-01,351902,5497,11,0.1413288212041294
Google Cloud Tech,2020-02-01,365232,6851,14,0.1330885069686517
Google Cloud Tech,2020-03-01,330301,4317,16,0.20598070842284696
Google Cloud Tech,2020-04-01,424709,4409,14,0.21982000610623695
Google Cloud Tech,2020-05-01,433627,5922,17,0.0962120795808031
Google Cloud Tech,2020-06-01,237667,3896,10,0.13528138368127676
Google Cloud Tech,2020-07-01,626018,8052,21,0.1313081755645249
Google Cloud Tech,2020-08-01,564405,5302,21,0.056381742323081935
Google Cloud Tech,2020-09-01,1590640,17652,164,0.18113195761526277
