channelTitle,year,total_engagement,total_likes,num_videos,avg_top_similarity
AWS Developers,2020,93654,1077,51,0.14313982594142774
AWS Developers,2021,596540,7836,168,0.13483792713024825
AWS Developers,2022,542219,6217,112,0.11487907401358229
AWS Developers,2023,587607,7166,144,0.12361286208075774
AWS Developers,2024,314810,4141,36,0.1259128543182214
AWS Developers,2025,148043,3237,23,0.22214375603875908
Google Cloud Tech,2019,166676,3002,11,0.1164361160294568
Google Cloud Tech,2020,6331058,80871,339,0.14313982594142774
Google Cloud Tech,2021,4851214,65218,267,0.13483792713024825
Google Cloud Tech,2022,3078202,44844,257,0.11487907401358229
Google Cloud Tech,2023,2025637,29369,232,0.12361286208075774
Google Cloud Tech,2024,1068380,17834,213,0.1259128543182214
Google Cloud Tech,2025,441620,11475,87,0.22214375603875908
IBM Technology,2019,200958,4811,1,0.1164361160294568
IBM Technology,2020,2464424,57010,43,0.14313982594142774
IBM Technology,2021,6047981,121027,90,0.13483792713024825
IBM Technology,2022,6926983,159679,86,0.11487907401358229
IBM Technology,2023,8607967,188095,101,0.12361286208075774
IBM Technology,2024,5445219,115880,151,0.1259128543182214
IBM Technology,2025,3295194,79150,58,0.22214375603875908
Microsoft Azure,2019,147977,1460,6,0.1164361160294568
Microsoft Azure,2020,1554193,14318,78,0.14313982594142774
Microsoft Azure,2021,1543811,13278,89,0.13483792713024825
Microsoft Azure,2022,1557677,10873,89,0.11487907401358229
Microsoft Azure,2023,505951,4995,66,0.12361286208075774
Microsoft Azure,2024,262908,3648,74,0.1259128543182214
Microsoft Azure,2025,73902,1551,80,0.22214375603875908
